ABG-organisatie; Alphen; art. 1.2.1.h. WGR; JenV
Afdeling Flevoland van de vereniging van Nederlandse Gemeenten; Lelystad; art. 1.3.1.b. invloed; BZK
Afdeling Overyssel van de Vereniging van Nederlandse Gemeenten; Raalte; art. 1.3.1.b. invloed; BZK
Afdeling Utrecht van de vereniging van Nederlandse Gemeenten; Nieuwegein; art. 1.3.1.b. invloed; BZK
Afeer; Winschoten; art. 1.2.1.h. WGR; BZK
Afvalbeheer Regio Centraal Groningen; Groningen; art. 1.2.1.h. WGR; BZK
Afvalinzameling Land van Cuijk en Boekel; Cuijk; art. 1.2.1.h. WGR; BZK
Afvalschap IJmond-Zaanstreek; Hoofddorp; art. 1.2.1.h. WGR; BZK
Agrarisch Natuur- en Landschapscollectief Midden-Groningen; Slochteren; art. 1.3.1.c. subsidie; BZK
Agrarische Natuur- en Landschapsvereniging De Lieuw Texel; Oudeschild; art. 1.3.1.c. subsidie; BZK
AgriFood Capital BV; 's-Hertogenbosch; art. 1.3.1.c. subsidie; BZK
Airport Coordination Netherlands; Schiphol; art. 1.3.1.a. openbaar gezag; IenW
Ambtelijke organisatie gemeenten Barendrecht, Albrandswaard en Ridderkerk; Ridderkerk; art. 1.2.1.h. WGR; BZK
Amstelland en Meerlanden werkorganisatie; Hoofddorp; art. 1.2.1.h. WGR; BZK
Amsterdamse Orde van Advocaten; Amsterdam; art. 1.2.1.h. overig; JenV
Aqualysis; Zwolle; art. 1.2.1.h. WGR; BZK
AQUON; Tiel; art. 1.2.1.h. WGR; BZK
Arbeidsintegratiebedrijf Dethon; Terneuzen; art. 1.2.1.h. WGR; BZK
Autoriteit Persoonsgegevens; Den Haag; art. 1.2.1.h. ZBO; JenV
Avri; Geldermalsen; art. 1.2.1.h. WGR; BZK
B.V. Sport; Leeuwarden; art. 1.3.1.c. subsidie; BZK
B.V. Sport Capelle aan den IJssel; Capelle aan den IJssel; art. 1.3.1.c. subsidie; BZK
Bedrijfsvoeringseenheid Bommelerwaard; Zaltbommel; art. 1.2.1.h. WGR; BZK
Bedrijfsvoeringsorganisatie H2O; Hattem; art. 1.2.1.h. WGR; BZK
Bedrijfsvoeringsorganisatie Lucrato; Apeldoorn; art. 1.2.1.h. WGR; BZK
Bedrijfsvoeringsorganisatie Noaberkracht Dinkelland Tubbergen; Denekamp; art. 1.2.1.h. WGR; BZK
Bedrijfsvoeringsorganisatie Rijn en Braassem; Alphen aan den Rijn; art. 1.2.1.h. WGR; BZK
Bedrijfsvoeringsorganisatie Vijfheerenlanden; Vianen; art. 1.2.1.h. WGR; BZK
Bedrijfsvoeringsorganisatie West Betuwe; Culemborg; art. 1.2.1.h. WGR; BZK
Bedrijvenschap Harnaschpolder; Schipluiden; art. 1.2.1.h. WGR; BZK
Bedrijvenschap Hoefweg; Bleiswijk; art. 1.2.1.h. WGR; BZK
Bedrijvenschap Regio Gouda; Nieuwerkerk ad Ijssel; art. 1.2.1.h. WGR; BZK
Beheersmaatschappij Zwemsport- en Recreatieobjecten Dongen B.V.; Dongen; art. 1.3.1.b. invloed; BZK
Beheersstichting Begraafplaatsen; Culemborg; art. 1.3.1.b. invloed; BZK
Beheerstichting Golfbaan Stippelberg; Bakel; art. 1.3.1.b. invloed; BZK
Beheerstichting Sport Alblasserdam; Alblasserdam; art. 1.3.1.b. invloed; BZK
BEL Combinatie; Eemnes; art. 1.2.1.h. WGR; BZK
Belastingsamenwerking Oost-Brabant afgekort: BSOB; Oss; art. 1.2.1.h. WGR; BZK
Belastingsamenwerking Rivierenland (BSR); Tiel; art. 1.2.1.h. WGR; BZK
Belastingsamenwerking SWW-gemeenten; Loosdrecht; art. 1.2.1.h. WGR; BZK
Biesieklette Holding B.V.; 's-Gravenhage; art. 1.3.1.c. subsidie; BZK
Bosbad B.V.; Emmeloord; art. 1.3.1.c. subsidie; BZK
Brabant Water N.V.; 's-Hertogenbosch; bijlagen WNT; IenW
Brabants Historisch Informatie Centrum; 's-Hertogenbosch; art. 1.2.1.h. WGR; BZK
Brabantse Ontwikkelings Maatschappij Holding B.V.; Tilburg; art. 1.3.1.c. subsidie; BZK
BreedSaam, Coöperatie Huisvesting Primair en Speciaal Onderwijs Breda UA; Breda; art. 1.3.1.b. invloed; BZK
Bright Move B.V.; Eindhoven; art. 1.3.1.c. subsidie; BZK
BsGW Belastingsamenwerking Gemeenten en Waterschappen; Roermond; art. 1.2.1.h. WGR; BZK
BSO Kindcentrum Koning Groen; Sprang-Capelle; art. 1.3.1.c. subsidie; BZK
Bureau Architectenregister; 's-Gravenhage; art. 1.2.1.h. ZBO; BZK
Bureau Beheer Landbouwgronden; Utrecht; art. 1.2.1.h. ZBO; LNV
Bureau Financieel Toezicht; Utrecht; art. 1.2.1.h. ZBO; JenV
BVO Ingenieursbureau Krimpenerwaard; Krimpen aan de Ijssel; art. 1.2.1.h. WGR; BZK
Centraal Afvalverwijderingsbedrijf Westfriesland; Bovenkarspel; art. 1.2.1.h. WGR; BZK
Centraal Bureau Rijvaardigheidsbewijzen (CBR); Rijswijk; art. 1.2.1.h. ZBO; IenW
Centraal Bureau voor de Statistiek (CBS); 's-Gravenhage; art. 1.2.1.h. ZBO; EZK
Centraal Nautisch Beheer Noordzeekanaalgebied CNB; Amsterdam; art. 1.2.1.h. WGR; BZK
Centraal Orgaan opvang asielzoekers (COA); 's-Gravenhage; art. 1.2.1.h. ZBO; JenV
Cliëntenbelang Amsterdam; Amsterdam; art. 1.3.1.c. subsidie; BZK
Collectief Alblasserwaard/Vijfheerenlanden Coöperatieve U.A.; Goudriaan; art. 1.3.1.c. subsidie; BZK
Collectief Eemland; Bunschoten-Spakenburg; art. 1.3.1.c. subsidie; BZK
Collectief Groningen West; Aduard; art. 1.3.1.c. subsidie; BZK
College voor de toelating van gewasbeschermingsmiddelen en biociden; Ede; art. 1.2.1.h. ZBO; LNV
Coöperatie Agrarisch Natuurbeheer Utrecht Oost U.A.; Leusden; art. 1.3.1.c. subsidie; BZK
Coöperatie Agrarische Natuurbeheervereniging Collectief Rivierenland U.A.; Echteld; art. 1.3.1.c. subsidie; BZK
Coöperatie Collectief Agrarisch Natuurbeheer U.A.; Colijnsplaat; art. 1.3.1.c. subsidie; BZK
Coöperatie De Groene Klaver U.A.; Voorschoten; art. 1.3.1.c. subsidie; BZK
Coöperatie Dimpact UA; Enschede; art. 1.3.1.b. invloed; BZK
Coöperatie Gastvrije Randmeren UA; Harderwijk; art. 1.3.1.b. invloed; BZK
Coöperatie Openbare Verlichting & Energie Fryslân U.A.; Sneek; art. 1.3.1.b. invloed; BZK
Coöperatie Park Management Grote Polder UA; Zoeterwoude; art. 1.3.1.c. subsidie; BZK
Coöperatie ParkeerService U.A.; Amersfoort; art. 1.3.1.b. invloed; BZK
Coöperatie Servicehuis Parkeer- en Verblijfsrechten UA; Voorschoten; art. 1.3.1.b. invloed; BZK
Coöperatief Agrarisch Natuur Collectief Veluwe U.A.; Nijkerk; art. 1.3.1.c. subsidie; BZK
Coöperatief Beheer groengebieden Midden-Delfland U.A.; Schipluiden; art. 1.3.1.b. invloed; BZK
